gsis_id,display_name,position,birth_date,pfr_id,espn_id
00-0035149,Nick Allegretti,G,1996-04-21,AlleNi00,3115922
00-0025475,Andy Alleman,G,1983-11-20,AlleAn20,10532
00-0028163,Anthony Allen,RB,1988-08-06,AlleAn01,14212
ALL057945,Anthony Allen,WR,1959-06-29,AlleAn00,
00-0029553,Antonio Allen,DB,1988-09-23,AlleAn02,15061
00-0028565,Armando Allen,RB,1989-04-30,AlleAr00,14358
00-0027058,Asher Allen,CB,1988-01-22,AlleAs99,12630
00-0037369,Austin Allen,TE,1998-11-10,AlleAu00,4240787
00-0031089,Beau Allen,DT,1991-11-14,AlleBe00,16912
00-0021665,Bosley Allen,WR,1980-06-07,,
00-0039794,Braelon Allen,RB,2004-01-20,AlleBr05,4685247
00-0032434,Brandon Allen,QB,1992-09-05,AlleBr00,2574511
00-0038856,Brevin Allen,LB,2000-09-22,AlleBr04,4365380
00-0020295,Brian Allen,OLB,1978-04-01,AlleBr21,2631
00-0021311,Brian Allen,RB,1980-04-20,AlleBr20,3781
00-0033467,Brian Allen,CB,1993-10-21,AlleBr01,2971632
00-0034804,Brian Allen,C,1995-10-11,AlleBr02,3134666
00-0033399,Chase Allen,OLB,1993-08-29,AlleCh02,2975680
00-0037100,Chase Allen,TE,1997-07-09,AlleCh03,4035526
00-0041039,CJ Allen,LB,2005-03-01,AlleCJ00,4870598
00-0037379,Christopher Allen,LB,1998-08-12,AlleCh04,4241446
00-0028066,Cortez Allen,DB,1988-10-29,AlleCo00,14109
00-0040890,Cyrus Allen,WR,2003-02-11,AlleCy00,4912218
00-0035670,Dakota Allen,LB,1995-11-02,AlleDa01,3139453
00-0020058,David Allen,RB,1978-02-05,AlleDa00,4760
00-0039074,Davis Allen,TE,2001-02-03,AlleDa02,4426553
00-0034585,Dejon Allen,OT,1994-05-05,AlleDe01,3046392
00-0031117,Denicos Allen,OLB,1990-08-09,AlleDe00,17370
00-0000196,Derek Allen,G,1971-01-30,AlleDe20,
00-0037039,Devon Allen,WR,1994-12-12,AlleDe02,3052083
ALL135205,Doug Allen,OLB,1951-11-13,AlleDo20,
00-0029689,Dwayne Allen,TE,1990-02-24,AlleDw00,14901
ALL173835,Earl Allen,DB,1961-10-24,AlleEa20,
ALL231780,Egypt Allen,DB,1964-07-28,AlleEg20,
00-0000204,Eric Allen,CB,1965-11-22,AlleEr00,107
ALL309040,Gary Allen,RB,1960-04-23,AlleGa20,
ALL386300,Greg Allen,RB,1963-06-04,AlleGr21,
